Property,Portal URL,Ticket #,Respondent,Date,Description,Agency,Status,Amount Due
814 WESTCHESTER,https://a836-citypay.nyc.gov/citypay/ecb?house_number=814&street_name=WESTCHESTER&borough=nan,049468033X,STOP AND GO DELI GRO,10/09/2025,IMPROPER RECEPTACLE (NON-RESIDENTIAL) 1ST,"DSNY Other
?",PAID IN FULL,$0.00
814 WESTCHESTER,https://a836-citypay.nyc.gov/citypay/ecb?house_number=814&street_name=WESTCHESTER&borough=nan,049629943J,RP LAILEILEI JUICE & SNACK BAR CO,01/25/2026,IMPROPER RECEPTACLE (NON-RESIDENTIAL) 1ST,"DSNY Other
?",DEFAULTED,$300.00
104-38 164 Street,https://a836-citypay.nyc.gov/citypay/ecb?house_number=104-38&street_name=164+Street&borough=nan,049350938R,PLAZA HOMES LLC,10/21/2025,DIRTY AREA,"DSNY Other
?",DOCKETED,$300.00
106-33 Guy R Brewer Blvd,https://a836-citypay.nyc.gov/citypay/ecb?house_number=106-33&street_name=Guy+R+Brewer+Blvd&borough=nan,049630967M,VILLAGE PLAZA HOMES,02/20/2026,DIRTY AREA,"DSNY Enf Agt
?",DEFAULTED,$80.00
106-41 Guy R Brewer Blvd,https://a836-citypay.nyc.gov/citypay/ecb?house_number=106-41&street_name=Guy+R+Brewer+Blvd&borough=nan,049574061M,MANISION HOMES LLC,01/08/2026,IMPROPER DISPOSAL--BEDDING 1ST OCCURRENCE,"DSNY Other
?",DEFAULTED,$300.00
107-09 Guy R Brewer Blvd,https://a836-citypay.nyc.gov/citypay/ecb?house_number=107-09&street_name=Guy+R+Brewer+Blvd&borough=nan,049324778H,VILLAGE PLAZA HOMES,10/14/2025,DIRTY SIDEWALK,"DSNY Enf Agt
?",DOCKETED,$300.00
107-45 Sutphin Blvd,https://a836-citypay.nyc.gov/citypay/ecb?house_number=107-45&street_name=Sutphin+Blvd&borough=nan,049680204J,VILLAGE PLAZA HOMES,03/16/2026,IMPROPER RECEPTACLE (FAILURE TO CONTAINERIZE)- RESIDENTIAL 1ST,"DSNY Other
?",DEFAULTED,$80.00
108-16 167 Street,https://a836-citypay.nyc.gov/citypay/ecb?house_number=108-16&street_name=167+Street&borough=nan,049574166Z,ROCKAWAY STORAGE INC,02/20/2026,FAILURE TO CLEAN 18 INCHES INTO STREET,"DSNY Other
?",DEFAULTED,$80.00
108-16 167 Street,https://a836-citypay.nyc.gov/citypay/ecb?house_number=108-16&street_name=167+Street&borough=nan,049396441P,ROCKAWAY STORAGE INC,10/21/2025,DIRTY SIDEWALK,"DSNY Other
?",DOCKETED,$300.00
108-16 167 Street,https://a836-citypay.nyc.gov/citypay/ecb?house_number=108-16&street_name=167+Street&borough=nan,049514884Z,ROCKAWAY STORAGE INC,11/22/2025,LOOSE RUBBISH 1ST OCCURRENCE,"DSNY Other
?",DOCKETED,$300.00
109-06 Guy R Brewer Blvd,https://a836-citypay.nyc.gov/citypay/ecb?house_number=109-06&street_name=Guy+R+Brewer+Blvd&borough=nan,049574047X,BETA HOLDING CORP,01/05/2026,IMPROPER RECEPTACLE (FAILURE TO CONTAINERIZE)- RESIDENTIAL 1ST,"DSNY Other
?",DEFAULTED,$300.00
109-06 Guy R Brewer Blvd,https://a836-citypay.nyc.gov/citypay/ecb?house_number=109-06&street_name=Guy+R+Brewer+Blvd&borough=nan,049544372M,BETA HOLDING CORP,03/12/2026,IMPROPER RECEPTACLE (FAILURE TO CONTAINERIZE)- RESIDENTIAL 1ST,"DSNY Other
?",DEFAULTED,$80.00
109-06 Guy R Brewer Blvd,https://a836-citypay.nyc.gov/citypay/ecb?house_number=109-06&street_name=Guy+R+Brewer+Blvd&borough=nan,049396598N,BETA HOLDING CORP,12/18/2025,IMPROPER RECEPTACLE (FAILURE TO CONTAINERIZE)- RESIDENTIAL 1ST,"DSNY Other
?",DOCKETED,$300.00
